AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BEDROOM,SALES_PRICE
KK Nagar,2414,54,4,2,6,Normal Sale,Yes,Commercial,AllPub,Gravel,RL,4.1,2.8,20151580
Chrompet,793,146,1,1,2,Family,Yes,Others,NoSewr ,No Access,RM,2.1,3.1,8702510
Anna Nagar,1502,87,1,1,4,Partial,Yes,Commercial,NoSeWa,Gravel,RH,2.6,3,17876680
Karapakkam,748,98,1,1,2,Family,Yes,Others,AllPub,No Access,A,3.5,3.9,4555000
Chrompet,788,39,1,1,2,Partial,No,House,NoSeWa,Gravel,RL,3.5,4.2,7130400
Karapakkam,1341,165,2,2,4,AbNormal,No,Commercial,AllPub,No Access,C,4,4.2,8469500
Anna Nagar,1571,41,1,1,4,Normal Sale,Yes,Others,NoSewr ,No Access,RL,4.4,2.8,12511690
Adyar,944,63,1,1,3,AbNormal,Yes,Commercial,NoSeWa,No Access,C,3.7,4.5,10559330
Chrompet,1206,62,2,1,4,Normal Sale,No,House,NoSeWa,Paved,RM,4.3,3.8,9696550
Karapakkam,1465,26,2,2,4,Normal Sale,No,Commercial,NoSeWa,Gravel,RH,3.3,4.6,11015000
Chrompet,707,148,1,1,2,AbNormal,Yes,Others,NoSeWa,No Access,RH,4.7,3,7191840
Velachery,1968,51,3,2,5,AbNormal,No,Others,AllPub,No Access,C,3.7,4.7,8620150
Chrompet,813,169,1,1,3,Normal Sale,Yes,Others,AllPub,No Access,RM,2.8,4.8,8836310
Karapakkam,586,178,1,1,2,Normal Sale,Yes,Commercial,NoSeWa,Paved,C,2.4,4.2,5852250
Karapakkam,1671,81,2,2,4,Normal Sale,No,House,NoSewr ,Paved,I,2.9,2.3,6843000
Velachery,1740,14,2,1,4,AbNormal,Yes,Commercial,ELO,No Access,RM,2.5,4,15673080
Velachery,1633,12,2,1,4,Normal Sale,Yes,Commercial,ELO,No Access,RM,4,3.3,14483410
Karapakkam,550,4,1,1,2,AdjLand,Yes,Others,NoSewr ,Paved,RL,2.3,3.6,6804500
Adyar,1267,49,2,2,4,Normal Sale,Yes,House,ELO,No Access,C,2.8,3.8,8380775
Adyar,916,114,1,1,3,Partial,Yes,Others,NoSewr ,No Access,RH,2.8,3.3,8165230
T Nagar,1872,194,2,1,5,Family,Yes,Commercial,ELO,Paved,RM,4.8,3.5,22201820
Chrompet,1148,85,1,1,3,AdjLand,No,House,ELO,Gravel,RL,3.2,4.7,9311100
KK Nagar,1840,16,3,2,5,AdjLand,No,Commercial,NoSeWa,Gravel,RM,3.7,2.8,16377280
Karapakkam,586,45,1,1,2,AbNormal,No,Others,NoSewr ,Paved,RH,3.3,2.2,4737250
Karapakkam,1121,26,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,C,2.5,2.5,7446000
KK Nagar,2430,115,4,2,6,Normal Sale,No,Commercial,AllPub,Gravel,RH,2.7,2.9,18554220
KK Nagar,2256,39,4,2,6,Partial,No,House,NoSewr ,Gravel,RH,4.5,2.4,10538280
Chrompet,1280,63,2,1,4,Family,No,Commercial,AllPub,Gravel,RL,4.2,3.8,14468350
Chrompet,1184,63,1,1,3,Family,Yes,Commercial,AllPub,Paved,RL,3.6,3.6,14032000
Anna Nagar,1775,30,1,1,4,Normal Sale,No,Commercial,NoSeWa,Paved,RM,4.6,4.7,20551520
Chrompet,1062,117,1,1,3,Partial,Yes,Others,ELO,Paved,RH,4.9,4.8,8819440
Chrompet,823,31,1,1,3,Family,Yes,Commercial,AllPub,Gravel,RL,3.4,4.2,11935150
Velachery,1626,37,2,1,4,Family,Yes,Others,ELO,Gravel,C,3.4,3.2,9092600
Karapakkam,774,74,1,1,2,Normal Sale,Yes,Commercial,NoSeWa,Paved,A,3.7,4.9,6390000
Velachery,1627,103,2,1,4,Normal Sale,Yes,Others,ELO,No Access,RL,2.7,3.9,10449500
KK Nagar,2078,150,3,2,5,AbNormal,Yes,House,NoSeWa,Gravel,RL,2.2,4.5,12142520
Anna Nagar,1740,182,1,1,4,AbNormal,Yes,House,ELO,Paved,RH,4.8,4.8,12115600
Adyar,630,141,1,1,2,Normal Sale,Yes,Commercial,ELO,Gravel,I,3.5,4.9,9386685
Karapakkam,1474,90,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,No Access,RH,4.6,2,11581500
Chrompet,1114,194,1,1,3,AbNormal,No,Others,AllPub,Gravel,RL,4.2,2,9791680
Chrompet,1188,88,1,1,3,Normal Sale,No,Commercial,AllPub,No Access,RL,3.2,3.4,13144050
Chrompet,1273,91,2,1,4,AbNormal,No,Others,NoSeWa,No Access,RL,3.6,3.5,9283260
Velachery,1884,199,3,2,5,AbNormal,Yes,Commercial,ELO,No Access,RM,2.8,2.2,16515880
Karapakkam,1550,165,2,2,4,Partial,Yes,House,ELO,Gravel,C,5,4.3,7079750
Adyar,1208,80,2,2,4,Normal Sale,No,Others,AllPub,Paved,RL,4.7,4.6,10253410
Chrompet,1231,48,2,1,4,Partial,Yes,Commercial,AllPub,Paved,RH,4,2.4,14256100
Chrompet,914,29,1,1,3,AdjLand,No,Commercial,AllPub,Paved,RM,4,3.9,12493850
Velachery,1578,57,2,1,4,AdjLand,Yes,House,ELO,Gravel,I,4.8,4.6,9489290
Chrompet,938,74,1,1,3,AdjLand,Yes,House,NoSewr ,No Access,RL,4.2,5,8766600
KK Nagar,2240,98,4,2,6,Normal Sale,No,Others,NoSeWa,Paved,RM,3.2,5,12436280
T Nagar,1595,136,1,1,4,Normal Sale,No,Commercial,NoSeWa,Paved,RM,4.2,2.9,18673590
KK Nagar,2438,105,4,2,6,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RH,4.6,2.2,19369040
Chrompet,707,108,1,1,2,Normal Sale,No,Others,ELO,Paved,RM,3.2,3.8,7582840
Velachery,1697,153,2,1,4,Family,Yes,Others,NoSewr ,Gravel,RM,3.6,4.8,11750710
KK Nagar,2049,46,3,2,5,AbNormal,No,Commercial,NoSeWa,Paved,RH,2.5,2.2,15247820
Anna Nagar,1775,101,1,1,4,AdjLand,Yes,Others,ELO,Gravel,RM,3.4,3.8,15310800
Karapakkam,957,2,1,1,3,AdjLand,No,House,NoSeWa,Gravel,A,3.3,4.5,5180000
Karapakkam,1592,8,2,2,4,AdjLand,No,Others,ELO,Gravel,C,3.2,4.6,8033250
KK Nagar,2317,137,4,2,6,AdjLand,No,Others,AllPub,Paved,RL,5,4.6,12871040
Chrompet,742,7,1,1,2,AbNormal,No,Others,NoSeWa,No Access,RH,5,3.2,5925790
Chrompet,763,13,1,1,2,Family,No,Others,AllPub,Paved,RH,3.8,4.6,7036410
Velachery,1738,195,2,1,4,AbNormal,Yes,Commercial,ELO,Gravel,RH,4.9,3.7,15676760
Chrompet,791,156,1,1,2,Normal Sale,Yes,House,NoSewr ,No Access,RM,2.7,2.8,8285550
Anna Nagar,1662,152,1,1,4,Normal Sale,No,Commercial,ELO,No Access,RM,4.7,2.1,18293830
Anna Nagar,1794,45,1,1,4,Family,No,Others,NoSewr ,Gravel,RM,2.8,2.5,13876620
Chrompet,841,183,1,1,3,Normal Sale,No,House,AllPub,Gravel,RL,4.4,3,8142550
Adyar,702,51,1,1,2,AdjLand,Yes,Commercial,AllPub,No Access,RH,3,4.7,10353315
Karapakkam,1009,55,1,1,3,AbNormal,Yes,Others,NoSewr ,Gravel,I,2,2.8,6878625
KK Nagar,1522,0,2,1,4,Normal Sale,No,Commercial,NoSeWa,Gravel,RL,4.9,4.8,13456660
Adyar,1274,79,2,2,4,Normal Sale,No,Others,NoSewr ,No Access,RM,2.5,3.7,10588470
KK Nagar,2175,72,3,2,5,AbNormal,No,House,AllPub,Gravel,RL,4.9,4.4,11346500
KK Nagar,2101,69,3,2,5,Partial,Yes,House,NoSeWa,Gravel,RL,3.6,5,11642240
Adyar,837,2,1,1,3,Normal Sale,No,Others,NoSeWa,Paved,RL,3.4,2.2,8005310
Anna Nagar,1845,183,2,1,5,AbNormal,Yes,Commercial,ELO,Gravel,RM,3.5,4.4,22619470
Adyar,1245,176,2,2,4,Normal Sale,No,House,ELO,No Access,I,3.1,2.2,7828105
Velachery,1510,128,2,1,4,AdjLand,No,Others,NoSewr ,Gravel,RM,2.9,3.1,11077770
Velachery,1562,20,2,1,4,Normal Sale,Yes,House,NoSeWa,Paved,C,2.5,2.7,7584040
Chrompet,792,16,1,1,2,Normal Sale,No,House,NoSewr ,No Access,RM,2.7,3.3,7387600
Chrompet,1124,142,1,1,3,AbNormal,No,Commercial,NoSewr ,Gravel,RL,2.3,2.6,13370400
Velachery,1917,88,3,2,5,AdjLand,No,Commercial,NoSewr ,Paved,RL,4.7,4.1,16094990
Velachery,1910,149,3,2,5,Normal Sale,No,Commercial,NoSewr ,Paved,RH,4.2,4.1,15030330
Adyar,1151,190,1,1,3,Partial,Yes,House,AllPub,No Access,C,4.7,3.3,7666980
KK Nagar,2158,27,3,2,5,Family,No,Commercial,NoSewr ,Paved,RL,4.7,4.4,16918940
Karapakkam,1464,39,2,2,4,Partial,Yes,House,AllPub,No Access,RL,2.5,3.3,7732750
Chrompet,883,163,1,1,3,AdjLand,Yes,Commercial,AllPub,No Access,RM,2.2,2.6,12231750
Karapakkam,532,78,1,1,2,AbNormal,No,House,NoSewr ,No Access,RM,3.3,2.8,5283250
KK Nagar,1925,125,3,2,5,Partial,No,House,NoSeWa,Paved,RL,3.8,4.1,9570520
Chrompet,1067,4,1,1,3,Partial,Yes,Others,ELO,Gravel,RL,2.8,2.6,9842290
Chrompet,801,106,1,1,3,AdjLand,No,Commercial,NoSeWa,Gravel,RL,4.3,3.6,11064550
KK Nagar,1536,122,2,1,4,Normal Sale,Yes,Others,AllPub,Gravel,RH,2.3,2.4,10706080
Velachery,1505,123,2,1,4,AdjLand,Yes,Others,AllPub,No Access,RL,4.4,3.9,9834610
Chrompet,849,120,1,1,3,AbNormal,No,Commercial,AllPub,No Access,RM,2.4,2.1,10980150
Velachery,1514,100,2,1,4,Partial,No,Others,NoSewr ,Gravel,RH,2.2,4.9,8935900
Chrompet,1181,14,1,1,3,AbNormal,No,Commercial,AllPub,No Access,RH,3.5,2.9,12089100
T Nagar,1773,131,1,1,4,Partial,No,House,NoSeWa,Gravel,RL,2.1,2.6,11966700
Anna Nagar,1906,29,2,1,5,Partial,No,House,NoSewr ,Gravel,RL,3.7,4.3,12755110
Chrompet,1061,31,1,1,3,Family,No,Commercial,NoSewr ,Paved,RM,2.3,3.7,12617700
Velachery,1520,6,2,1,4,AbNormal,Yes,Commercial,NoSeWa,Paved,A,2.5,3.4,11872680
KK Nagar,1564,187,2,1,4,Family,Yes,Commercial,AllPub,Paved,RH,4.9,2.9,13566940
Velachery,1900,4,3,2,5,Family,Yes,Others,ELO,Gravel,C,3.9,3.6,10080770
Chrompet,1120,5,1,1,3,Normal Sale,Yes,Others,NoSewr ,Paved,RH,3.6,4.8,9914650
Karapakkam,1147,93,1,1,3,Family,No,Others,ELO,Paved,C,2.5,3.5,5352875
Chrompet,1087,41,1,1,3,Normal Sale,No,House,NoSewr ,No Access,RM,4.3,2.5,8499600
Karapakkam,955,40,1,1,3,Partial,Yes,House,AllPub,No Access,RH,2,2.1,6221000
Karapakkam,545,121,1,1,2,Normal Sale,No,Others,NoSewr ,Gravel,C,3.4,3.1,4591875
KK Nagar,1494,169,2,1,4,AbNormal,No,Commercial,AllPub,Gravel,RL,3.4,2.6,13331980
Karapakkam,1649,200,2,2,4,Partial,Yes,Commercial,NoSewr ,Paved,RL,3.8,2.1,13264000
Adyar,1297,120,2,2,4,Family,Yes,Commercial,NoSeWa,Paved,RM,3.5,2.1,16625090
Karapakkam,676,156,1,1,2,Family,No,Others,ELO,Gravel,A,3.8,2.2,3741250
Anna Nagar,1523,181,1,1,4,Family,Yes,House,AllPub,No Access,RM,4.7,3,12010860
Anna Nagar,1704,126,1,1,4,Normal Sale,No,Others,ELO,No Access,RL,3,4.9,12432100
Karapakkam,827,105,1,1,2,Partial,Yes,Others,AllPub,No Access,RH,2.4,3.1,6421125
Chrompet,897,126,1,1,3,AdjLand,No,House,ELO,No Access,RL,2.5,4.6,7649800
Karapakkam,1024,134,1,1,3,Normal Sale,Yes,House,ELO,Paved,RH,4.5,3.8,7119000
KK Nagar,1707,101,2,1,4,Partial,Yes,Others,NoSeWa,Paved,RM,2.4,2.2,11187900
T Nagar,1838,75,2,1,5,AbNormal,Yes,House,ELO,No Access,RL,3.6,4.4,12673360
Karapakkam,1680,86,2,2,4,Family,No,Others,ELO,Paved,RH,2.8,3,7872500
Anna Nagar,1617,58,1,1,4,AdjLand,Yes,House,ELO,Gravel,RM,3.9,3,14115670
Chrompet,927,185,1,1,3,AbNormal,No,Others,AllPub,Gravel,RH,3.2,2.6,8368990
Adyar,873,67,1,1,3,Partial,No,Commercial,ELO,Gravel,RM,4.3,4.7,12099995
Anna Nagar,1841,16,2,1,5,Partial,Yes,Commercial,AllPub,No Access,RM,3.3,2.4,21252230
Karapakkam,712,115,1,1,2,AdjLand,No,Others,ELO,No Access,C,4.2,2.4,3833500
Anna Nagar,1860,200,2,1,5,Family,Yes,Others,ELO,No Access,RL,3.3,3.3,13463390
Velachery,1774,149,2,1,4,AdjLand,No,House,ELO,No Access,A,2.2,5,6468090
Anna Nagar,1781,102,1,1,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,RM,5,2.4,22007470
KK Nagar,1351,192,2,1,4,Normal Sale,Yes,House,NoSewr ,Gravel,RH,4.1,3.7,9284180
KK Nagar,2263,87,4,2,6,Partial,No,House,AllPub,Paved,RL,3.2,3.2,11050660
KK Nagar,1956,155,3,2,5,AbNormal,No,Others,AllPub,Paved,RM,3.7,2.6,11633740
Karapakkam,1199,122,1,1,3,Family,Yes,Others,ELO,No Access,RM,4.9,3,8061375
Chrompet,960,151,1,1,3,Normal Sale,Yes,Commercial,NoSewr ,No Access,RL,4.7,4.4,12145750
Karapakkam,1053,124,1,1,3,Family,No,Commercial,NoSeWa,Paved,RL,4.6,2.8,9221000
KK Nagar,1944,173,3,2,5,Family,Yes,Commercial,AllPub,Paved,RL,4.2,4.6,16666700
Chrompet,780,41,1,1,2,AdjLand,No,Others,NoSeWa,No Access,RM,2.5,4.1,7685050
Velachery,1868,59,3,2,5,AbNormal,Yes,Others,NoSewr ,Paved,A,4.4,3,9188710
Karapakkam,511,49,1,1,2,Partial,Yes,House,AllPub,No Access,RM,3.4,4.6,6479750
Adyar,951,180,1,1,3,AdjLand,No,Commercial,ELO,Gravel,C,3.3,3.3,11174665
Chrompet,1150,6,1,1,3,Partial,No,House,NoSeWa,Paved,RM,4.2,3,9120250
Anna Nagar,1758,4,1,1,4,Normal Sale,Yes,House,ELO,Gravel,RM,4.4,4,14289740
Karapakkam,703,171,1,1,2,AdjLand,Yes,House,ELO,Gravel,RH,4.3,4,7240500
Chrompet,973,53,1,1,3,AdjLand,No,House,AllPub,No Access,RL,3.3,3.8,7935350
Adyar,1128,28,1,1,3,AdjLand,Yes,Commercial,AllPub,Gravel,RH,4.9,3.5,15093640
Karapakkam,578,29,1,1,2,AdjLand,Yes,House,NoSeWa,No Access,RL,2.4,2.4,5754250
T Nagar,1669,193,1,1,4,Partial,No,Others,NoSeWa,No Access,RL,3.4,4.8,12021830
Adyar,1096,103,1,1,3,Family,Yes,House,NoSeWa,No Access,C,4.9,4.1,7537975
Anna Nagar,1595,58,1,1,4,Partial,No,Others,NoSeWa,No Access,RH,2.4,3.9,10854110
Anna Nagar,1825,77,2,1,5,AbNormal,Yes,Others,NoSeWa,Gravel,RM,2.3,3.9,15603340
Chrompet,1298,157,2,1,4,Family,Yes,Others,AllPub,No Access,RL,3.6,4.9,10636110
T Nagar,1812,82,2,1,5,Normal Sale,No,House,NoSewr ,No Access,RL,4.8,5,11643180
Karapakkam,975,166,1,1,3,AdjLand,Yes,Commercial,AllPub,No Access,RL,4.1,2.5,9577000
KK Nagar,1830,76,3,2,5,AbNormal,No,House,AllPub,Gravel,RM,2.2,2.5,10916420
Karapakkam,1054,34,1,1,3,Family,No,Commercial,NoSewr ,No Access,A,2.8,3.3,6235500
Anna Nagar,1852,55,2,1,5,Family,No,House,AllPub,No Access,RL,3.9,3.1,11827050
Chrompet,1057,76,1,1,3,Normal Sale,Yes,House,ELO,Gravel,RH,4.7,2.3,8931100
Anna Nagar,1616,111,1,1,4,AdjLand,Yes,House,NoSeWa,Gravel,RM,4.8,3.5,13510630
Velachery,1500,162,2,1,4,AdjLand,Yes,House,NoSeWa,Gravel,A,4.2,4.1,7628730
Chrompet,750,85,1,1,2,Normal Sale,No,Others,NoSeWa,Gravel,RM,4.1,4.6,8287250
Chrompet,1262,82,2,1,4,AdjLand,Yes,Others,AllPub,No Access,RL,2,2.8,10381640
Anna Nagar,1700,111,1,1,4,Normal Sale,Yes,Others,AllPub,No Access,RH,2.7,4,12556130
Anna Nagar,1605,8,1,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4,3.9,19978530
Chrompet,1192,60,1,1,3,Partial,No,House,NoSewr ,No Access,RH,2.1,4.8,7363600
Chrompet,1199,56,1,1,3,Partial,No,House,AllPub,No Access,RL,4.8,2,7759200
Chrompet,980,94,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,3.5,4.5,9160100
Velachery,1539,47,2,1,4,AdjLand,Yes,Commercial,NoSewr ,Paved,RM,3.2,2.5,15053510
Chrompet,824,0,1,1,3,AdjLand,Yes,Commercial,AllPub,Gravel,RL,3.9,2.5,12555850
Chrompet,1124,95,1,1,3,Family,Yes,House,ELO,No Access,RL,2.7,2.3,8744300
Karapakkam,1397,38,2,2,4,AdjLand,No,Commercial,ELO,Gravel,RL,3.6,2.6,12212000
KK Nagar,1419,39,2,1,4,Normal Sale,No,House,NoSeWa,Gravel,RL,2.7,4.2,8975540
Karapakkam,1214,60,1,1,3,Partial,No,Others,NoSeWa,Gravel,C,4.7,3.6,6152500
KK Nagar,1512,108,2,1,4,Family,No,Others,AllPub,Gravel,RM,4.6,4.7,10831740
Karapakkam,574,175,1,1,2,AbNormal,No,Others,ELO,Paved,I,4.2,2.4,4626250
Karapakkam,1446,24,2,2,4,Normal Sale,No,Commercial,NoSeWa,Paved,C,3.2,3.1,9942750
Chrompet,1138,150,1,1,3,AbNormal,Yes,Commercial,AllPub,No Access,RH,2.1,4.3,13038800
T Nagar,1773,166,1,1,4,AdjLand,Yes,Commercial,NoSeWa,No Access,RH,3.3,4.1,19467250
Chrompet,879,19,1,1,3,Family,No,House,AllPub,No Access,RL,4.7,3.4,7056300
Velachery,1744,69,2,1,4,AbNormal,Yes,Others,NoSewr ,Gravel,RM,2.3,3.9,11948330
KK Nagar,1751,197,2,1,4,AbNormal,Yes,House,NoSeWa,Gravel,RL,3.1,5,10660400
Karapakkam,1541,192,2,2,4,Normal Sale,Yes,House,ELO,No Access,RL,2.4,4.6,8361750
Karapakkam,1625,115,2,2,4,Partial,Yes,Commercial,NoSewr ,Paved,RL,4.2,2.3,13175500
Karapakkam,675,131,1,1,2,AdjLand,Yes,Commercial,ELO,Paved,A,2.6,2.8,6031500
Karapakkam,543,112,1,1,2,Partial,Yes,Commercial,AllPub,Gravel,RH,2.8,3.3,7478750
Karapakkam,1087,132,1,1,3,AbNormal,Yes,Commercial,NoSeWa,No Access,RL,3.7,3.4,9780000
Chrompet,1083,163,1,1,3,Partial,Yes,House,AllPub,Paved,RH,2.5,2.2,8614150
KK Nagar,2451,57,4,2,6,AbNormal,No,Others,NoSeWa,Paved,RM,3.5,3.1,12952820
T Nagar,1562,3,1,1,4,Normal Sale,Yes,House,NoSeWa,No Access,RL,4.7,4.3,11938300
KK Nagar,1600,35,2,1,4,Normal Sale,Yes,Others,AllPub,Paved,RL,4.7,4.9,10942360
T Nagar,1624,117,1,1,4,Normal Sale,Yes,Commercial,NoSewr ,Paved,RM,5,2.2,19722030
Chrompet,1216,144,2,1,4,Family,No,Commercial,ELO,Gravel,RL,2.5,2.7,13534450
KK Nagar,1333,78,2,1,4,AdjLand,Yes,House,NoSeWa,Gravel,RM,4.2,3.1,10707680
KK Nagar,1564,49,2,1,4,AbNormal,No,House,NoSeWa,Paved,RM,4.6,2.5,9497460
KK Nagar,1366,195,2,1,4,Partial,No,House,NoSeWa,Gravel,RH,2.9,2.1,7575380
Adyar,1277,30,2,2,4,Partial,Yes,House,NoSewr ,Paved,C,3.8,4,8379570
Karapakkam,1245,38,1,1,3,Partial,No,Commercial,AllPub,Gravel,A,4.8,2.7,8458500
Karapakkam,1314,199,1,1,3,Family,No,Others,ELO,No Access,RM,4.1,4.7,7625250
Chrompet,967,56,1,1,3,Partial,No,Commercial,AllPub,Paved,RL,2.1,4.6,11709450
Karapakkam,1511,88,2,2,4,Normal Sale,No,House,AllPub,No Access,RL,3.4,2,7032250
Karapakkam,1067,75,1,1,3,AdjLand,No,House,AllPub,Paved,RM,2.3,3,7756750
Chrompet,1005,21,1,1,3,Family,Yes,Others,AllPub,Paved,RM,3.8,2.1,10516450
Karapakkam,1148,156,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,3.8,3.1,11832500
Velachery,1501,117,2,1,4,Family,Yes,Others,NoSewr ,No Access,C,2.8,3.1,8170290
KK Nagar,1559,139,2,1,4,Partial,No,Commercial,NoSeWa,Gravel,RM,5,2.3,13940820
Anna Nagar,1942,130,2,1,5,Partial,No,Commercial,ELO,No Access,RM,4.6,3,20387660
T Nagar,1536,6,1,1,4,Family,No,House,NoSewr ,No Access,RM,2.1,3.9,11088470
Velachery,1833,89,3,2,5,AbNormal,Yes,Others,NoSeWa,No Access,C,3.8,3.8,8865880
Chrompet,831,187,1,1,3,Normal Sale,No,House,ELO,No Access,RH,2.8,2.6,6243300
Anna Nagar,1785,162,1,1,4,AbNormal,Yes,Others,NoSeWa,Gravel,RL,2.2,3.3,14956820
Chrompet,935,108,1,1,3,Family,Yes,Others,NoSeWa,Gravel,RL,2.3,4.2,9717300
KK Nagar,2409,115,4,2,6,Family,No,House,NoSeWa,Gravel,RL,2.5,3.6,11834440
Velachery,1760,56,2,1,4,Normal Sale,Yes,House,ELO,Paved,RL,4.3,4.9,9929000
T Nagar,1920,86,2,1,5,AbNormal,Yes,House,NoSeWa,Paved,RM,4.4,2.3,14047140
Karapakkam,1352,51,2,2,4,Normal Sale,No,House,NoSeWa,No Access,RM,2.2,4.6,7180750
Chrompet,708,186,1,1,2,Normal Sale,Yes,Others,AllPub,Gravel,RM,4,3.2,9522210
Velachery,1798,74,2,1,4,AbNormal,No,Others,AllPub,No Access,A,2.1,3.2,7730470
Chrompet,901,163,1,1,3,AdjLand,No,Others,NoSewr ,Paved,RM,3.1,3.3,9000320
Chrompet,1270,189,2,1,4,Partial,Yes,Commercial,NoSewr ,No Access,RH,4.8,2.6,13399250
Chrompet,802,163,1,1,3,Normal Sale,Yes,House,ELO,No Access,RH,4.1,3.3,7320850
Chrompet,1094,112,1,1,3,Normal Sale,No,Commercial,AllPub,Paved,RH,3.2,2.4,12035150
Karapakkam,666,147,1,1,2,AdjLand,No,Others,ELO,Gravel,A,3.5,2.9,4505500
Velachery,1655,112,2,1,4,Family,Yes,House,ELO,Paved,I,2.2,3.5,8487410
KK Nagar,1622,130,2,1,4,AbNormal,No,Commercial,NoSeWa,Paved,RH,4.2,2.5,12763700
KK Nagar,2364,140,4,2,6,Family,No,Commercial,AllPub,Paved,RM,2.8,4.6,18543840
Karapakkam,1442,37,2,2,4,Family,Yes,Others,AllPub,Paved,RL,2.1,2.9,8965750
KK Nagar,1614,140,2,1,4,Partial,No,Commercial,NoSewr ,Gravel,RH,4.8,2.6,13378620
Velachery,1567,175,2,1,4,Normal Sale,No,Commercial,ELO,Gravel,RH,3.8,3.3,13199950
Karapakkam,677,178,1,1,2,Family,Yes,Commercial,NoSewr ,No Access,C,4.6,4.5,5633250
KK Nagar,2333,18,4,2,6,AbNormal,Yes,Others,NoSewr ,Gravel,RM,4.2,4.1,14416660
Karapakkam,1270,171,1,1,3,Normal Sale,Yes,Commercial,AllPub,No Access,C,3.6,3.5,9422000
Chrompet,1022,68,1,1,3,Normal Sale,No,Others,ELO,Paved,RM,2.9,3.7,9089140
Chrompet,1000,2,1,1,3,Partial,Yes,House,AllPub,Gravel,RL,2.2,2.6,9681250
KK Nagar,1429,194,2,1,4,Family,No,Others,NoSewr ,Gravel,RH,3.3,3.3,8876760
T Nagar,1515,24,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RM,4,3.3,20003050
Adyar,888,120,1,1,3,Partial,Yes,Commercial,ELO,No Access,RM,3.2,5,12334440
Karapakkam,712,200,1,1,2,Partial,No,Commercial,AllPub,Paved,RL,2.7,3.2,7558000
T Nagar,1685,20,1,1,4,AdjLand,Yes,Commercial,NoSewr ,Paved,RL,2.1,2.7,19839060
KK Nagar,1483,10,2,1,4,AbNormal,No,Commercial,AllPub,Gravel,RL,2.3,2,13570940
Adyar,990,191,1,1,3,AbNormal,No,Commercial,NoSewr ,Paved,C,2.9,2.8,10341610
Karapakkam,1157,179,1,1,3,AbNormal,No,Commercial,ELO,No Access,A,3.6,4.9,7007250
Karapakkam,1350,144,2,2,4,Normal Sale,No,Commercial,ELO,Paved,I,2.3,5,9967750
KK Nagar,1702,104,2,1,4,AdjLand,No,Commercial,NoSeWa,Paved,RM,2.8,3.4,14721720
T Nagar,1779,153,1,1,4,AbNormal,Yes,Others,NoSeWa,Paved,RL,2.2,4.8,14052490
Karapakkam,1356,85,2,2,4,AdjLand,Yes,Others,AllPub,Paved,I,4.8,2,8177250
Chrompet,713,80,1,1,2,AdjLand,No,Commercial,NoSeWa,Paved,RH,3.3,4.2,9213250
Adyar,969,80,1,1,3,Partial,Yes,Others,NoSewr ,Gravel,RM,3.1,5,10820520
KK Nagar,1324,144,1,1,3,Normal Sale,Yes,House,AllPub,Gravel,RH,3.5,2,9187560
Chrompet,1156,93,1,1,3,Family,No,Commercial,NoSeWa,Gravel,RM,4.3,5,14124700
Karapakkam,1327,124,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,Gravel,A,4.1,2,9886000
Karapakkam,1117,89,1,1,3,Partial,No,Commercial,ELO,Paved,RM,2,3.5,9500250
Chrompet,1284,108,2,1,4,Family,No,Commercial,NoSeWa,Gravel,RL,3.1,3.1,14704500
Anna Nagar,1983,0,2,1,5,AdjLand,Yes,House,NoSeWa,Gravel,RM,4.9,2.3,15237150
Chrompet,1264,145,2,1,4,Family,No,House,NoSeWa,Paved,RL,4.7,3.3,8987800
Velachery,1649,121,2,1,4,Partial,Yes,Commercial,NoSeWa,Gravel,A,5,2.9,12990820
Chrompet,1245,177,2,1,4,AbNormal,Yes,House,NoSewr ,Paved,RM,2.8,2.4,11062000
KK Nagar,1422,117,2,1,4,AdjLand,Yes,Commercial,NoSeWa,Paved,RL,3,2.5,13472800
Adyar,634,185,1,1,2,Partial,No,Commercial,ELO,Paved,RL,2.4,2.3,8762095
KK Nagar,2052,47,3,2,5,Partial,No,Others,NoSewr ,Paved,RH,4.1,4.3,10357920
Chrompet,984,51,1,1,3,Partial,No,Others,AllPub,Gravel,RL,3.6,2.3,8614330
Anna Nagar,1808,130,2,1,5,Normal Sale,Yes,Others,ELO,No Access,RL,2.9,3.1,13475870
Chrompet,1266,165,2,1,4,AbNormal,No,House,AllPub,Paved,RH,4.4,2.7,9080550
T Nagar,1910,111,2,1,5,Normal Sale,Yes,Commercial,NoSeWa,Paved,RL,4.6,2.9,21530880
Velachery,1527,43,2,1,4,Family,Yes,Others,ELO,Gravel,C,3.6,2.1,8920800
